Year,Month,WeekIndex,Genre,genre_weekly_score,weekly_position,spotify_track_preview_url,Performer,Song,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1996,December,1,R&B,7.919830239981111,1,https://p.scdn.co/mp3-preview/8dd5811647fee072e2cdffd2157d30844acf93b7?cid=b8d3901151d34489a160e3cf0ab1fa94,Toni Braxton,Un-Break My Heart,2o77J0lHibFJgnTGhiwTke,0.678,0.374,7.0,-9.47,0.0,0.0303,0.804,0.559,0.188,0.2349999999999999,109.912,4.0
1996,December,1,Pop,6.505032084784509,2,https://p.scdn.co/mp3-preview/8dd5811647fee072e2cdffd2157d30844acf93b7?cid=b8d3901151d34489a160e3cf0ab1fa94,Toni Braxton,Un-Break My Heart,2o77J0lHibFJgnTGhiwTke,0.678,0.374,7.0,-9.47,0.0,0.0303,0.804,0.559,0.188,0.2349999999999999,109.912,4.0
1996,December,1,Soul,1.322983765053023,3,https://p.scdn.co/mp3-preview/8dd5811647fee072e2cdffd2157d30844acf93b7?cid=b8d3901151d34489a160e3cf0ab1fa94,Toni Braxton,Un-Break My Heart,2o77J0lHibFJgnTGhiwTke,0.678,0.374,7.0,-9.47,0.0,0.0303,0.804,0.559,0.188,0.2349999999999999,109.912,4.0
1996,December,1,Hip Hop,1.193647917198742,4,https://p.scdn.co/mp3-preview/3ea8fa99dbd05e210739f960065718fb9ca0bdfd?cid=b8d3901151d34489a160e3cf0ab1fa94,Ginuwine,Pony,6mz1fBdKATx6qP4oP1I65G,0.749,0.6049999999999999,8.0,-9.359,0.0,0.0859999999999999,0.00186,0.0381,0.115,0.966,142.024,4.0
1996,December,1,Rock,0.873881399053248,5,https://p.scdn.co/mp3-preview/447ef8f544b12aa144a069932df316554cd735ee?cid=b8d3901151d34489a160e3cf0ab1fa94,Barbra Streisand & Bryan Adams,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",2WthqeuPLwn0CHwCMrlt6L,0.562,0.224,6.0,-15.069,1.0,0.0289,0.674,0.0,0.127,0.0707,139.009,4.0
1996,December,1,Easy Listening,0.4286774628879892,6,https://p.scdn.co/mp3-preview/447ef8f544b12aa144a069932df316554cd735ee?cid=b8d3901151d34489a160e3cf0ab1fa94,Barbra Streisand & Bryan Adams,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",2WthqeuPLwn0CHwCMrlt6L,0.562,0.224,6.0,-15.069,1.0,0.0289,0.674,0.0,0.127,0.0707,139.009,4.0
1996,December,1,Funk,0.42049715867440995,7,https://p.scdn.co/mp3-preview/d571efb9ae9e8dc367efe40d1de5ef0d79bd0127?cid=b8d3901151d34489a160e3cf0ab1fa94,Keith Sweat Featuring Athena Cage,Nobody,4SF1747p541umnykBp352Q,0.699,0.4919999999999999,9.0,-9.449,0.0,0.0318,0.4839999999999999,0.0,0.0482,0.388,117.907,4.0
1996,December,1,Dance,0.24447576881648886,8,https://p.scdn.co/mp3-preview/33491bded288d9f5c1a6d3d31078d4b57d4b8993?cid=b8d3901151d34489a160e3cf0ab1fa94,No Mercy,Where Do You Go,37tzoWY1ubBQKGXiWdO5Qv,0.7339999999999999,0.8279999999999998,10.0,-11.018,0.0,0.0318,0.0346,0.1179999999999999,0.071,0.964,127.06,4.0
1996,December,1,Other,0.24285255997251035,9,https://p.scdn.co/mp3-preview/1c200875f2a22003a4129596d5f43399a3f34297?cid=b8d3901151d34489a160e3cf0ab1fa94,Merril Bainbridge,Mouth,11Ki2bHWXTEug0DAfKcDDD,0.695,0.499,1.0,-9.201,1.0,0.218,0.7019999999999998,5.8e-05,0.154,0.78,175.896,4.0
1996,December,1,Electronic,0.16476524449639587,10,https://p.scdn.co/mp3-preview/33491bded288d9f5c1a6d3d31078d4b57d4b8993?cid=b8d3901151d34489a160e3cf0ab1fa94,No Mercy,Where Do You Go,37tzoWY1ubBQKGXiWdO5Qv,0.7339999999999999,0.8279999999999998,10.0,-11.018,0.0,0.0318,0.0346,0.1179999999999999,0.071,0.964,127.06,4.0
